bărbat gospodar
bărbat soț
gospodar soț
chiciură promoroacă
intermediar mediator
intermediar mijlocitor
mediator mijlocitor
mijlocitor mediator
cucuruz păpușoi
cucuruz porumb
păpușoi porumb
porumb păpușoi
ictus șoc
monarhist regalist
mahomedan musulman
musulman mahomedan
pojar rujeolă
amfibian batracian
căldare găleată
unificare unire
unire unificare
box pugilat
box pugilism
box pugilistică
pugilat pugilism
pugilat pugilistică
pugilism pugilat
pugilism pugilistică
pugilistică pugilat
pugilistică pugilism
pricolici vârcolac
sacrificare tăiere
bumb nasture
aversă răpăială
aversă ropot
răpăială ropot
ropot răpăială
răzătoare răzuitoare
răzuitoare răzătoare
dăruire dare
dare dăruire
albăstriță albăstrea
albăstriță ghioc
contor numărător
nacru sidef
juvete valet
ascensor lift
alinare consolare
alinare mângâiere
consolare mângâiere
exemplificare ilustrare
bijuterie giuvaer
raniță rucsac
rucsac raniță
căpșun frag
matcă regină
as birlic
aripioară înotătoare
mască obrăzar
asanare drenaj
asanare drenare
drenaj drenare
drenare drenaj
doamnă-mare doamna-codrului
doamnă-mare mătrăgună
doamna-codrului doamnă-mare
doamna-codrului mătrăgună
prâsnel sfârlează
prâsnel titirez
sfârlează titirez
tură turn
turn tură
limitare restricție
tabel tablă
tabel tablou
tablă tabel
tablă tablou
tablou tabel
tablou tablă
bască beretă
basc beretă
beretă bască
beretă basc
coit copulație
copulație coit
prințesă principesă
principesă prințesă
gloabă mârțoagă
foame nemâncare
cărăbuș găinușă
emigrație emigrare
emigrație expatriere
emigrare emigrație
emigrare expatriere
expatriere emigrație
expatriere emigrare
voie voință
voie vrere
voință voie
voință vrere
vrere voie
vrere voință
ceucă stăncuță
ceucă stancă
stăncuță stancă
stancă stăncuță
crez cult
cult crez
barjă șlep
pletină șlep
barjă pletină
brac prepelicar
bagdadie plafon
bagdadie tavan
plafon tavan
colecție culegere
culegere colecție
cămin coș
cămin horn
coș cămin
coș horn
ilău nicovală
canabis marijuana
ciondăneală ciorovăială
ciorovăială ciondăneală
erodare eroziune
eroziune erodare
kaliu potasiu
pucioasă sulf
olog schilod
citeră țiteră
fractură ruptură
convulsie spasm
minaret minarea
inconștiență iresponsabilitate
iresponsabilitate inconștiență
coccis noadă
vodcă votcă
votcă vodcă
plămân pulmon
pulmon plămân
iscoadă spion
as geniu
as virtuoz
geniu virtuoz
franzelă jimblă
cută încrețitură
dungă încrețitură
rid încrețitură
zbârcitură încrețitură
creț cută
creț dungă
creț rid
creț zbârcitură
cută creț
cută dungă
cută rid
cută zbârcitură
dungă rid
dungă zbârcitură
rid zbârcitură
repertoar repertoriu
repertoriu repertoar
rană tăietură
cafeină cofeină
cofeină cafeină
cufureală diaree
copilaș pui
noctambul somnambul
anorexie inapetență
amfitrion gazdă
formulă parolă
inițiator pionier
inițiator promotor
pionier promotor
promotor pionier
personaj personalitate
personalitate personaj
cositor staniu
cârnaț cârnat
cârnat cârnaț
binecuvântare blagoslovire
blagoslovire binecuvântare
liliac mălin
beregată laringe
cuarț cvarț
cvarț cuarț
sprijinitor susținător
susținător sprijinitor
natriu sodiu
singuratic solitar
solitar singuratic
genunche genunchi
genunchi genunche
abate arhimandrit
arhimandrit abate
elipsă oval
far magistru
țăcănit țicnit
smintit țăcănit
țicnit țăcănit
smintit țicnit
delicatețe tact
ciocănaș ciocănel
ciocănel ciocănaș
gătire gătit
gătit gătire
predilecție preferință
preferință predilecție
contrar opus
procent sutime
procentaj sutime
apă fântână
apă puț
fântână puț
împunsătură înțepătură
săgeată împunsătură
înțepătură împunsătură
săgeată înțepătură
homosexual invertit
homosexual pederast
invertit pederast
culegere zețuit
nervură vână
foaie fustă
fustă foaie
ochi văz
ochi vedere
văz vedere
vedere văz
deghizare impostură
deghizare travestire
impostură travestire
bandă grup
bandă trupă
grup trupă
departament minister
fundal umbră
cârpeală petic
conector racord
schelă suport
suport schelă
groapă mormânt
bază infrastructură
șoaptă șușotit
șușotit șoaptă
miez pulpă
grăsime unsoare
aramă cupru
exagerare forțare
bombă șut
definitivare finisaj
definitivare finisare
finisaj finisare
finisare finisaj
cadru ramă
mândrie îngâmfare
orgoliu îngâmfare
semeție îngâmfare
mândrie orgoliu
mândrie semeție
orgoliu semeție
credință nădejde
credință speranță
nădejde speranță
excentricitate extravaganță
excentricitate originalitate
extravaganță excentricitate
extravaganță originalitate
frângere rupere
frângere sfâșiere
frângere spargere
frângere spintecare
rupere sfâșiere
rupere spargere
rupere spintecare
sfâșiere spargere
sfâșiere spintecare
spargere sfâșiere
spargere spintecare
spintecare sfâșiere
spintecare spargere
dâră dungă
dâră fâșie
dungă dâră
dungă fâșie
cameră încăpere
gură sărut
gură sărutare
atenție lumină
beregată înghițitoare
gâtlej înghițitoare
beregată gâtlej
aberație absurditate
aberație aiureală
aberație bazaconie
aberație elucubrație
aberație nonsens
absurditate aberație
absurditate aiureală
absurditate bazaconie
absurditate elucubrație
absurditate nonsens
aiureală aberație
aiureală absurditate
aiureală bazaconie
aiureală elucubrație
aiureală nonsens
bazaconie elucubrație
bazaconie nonsens
elucubrație nonsens
secol veac
amărăciune mâhnire
amărăciune nefericire
amărăciune nenorocire
mâhnire nefericire
mâhnire nenorocire
nefericire nenorocire
nenorocire nefericire
scenă tablou
desăvârșire perfecțiune
desăvârșire sublim
perfecțiune sublim
miros olfacție
boț rotunjime
nulitate zero
călcâi talus
notă ton
politică tactică
înșelăciune învăluire
înșelăciune șiretlic
învăluire înșelăciune
învăluire șiretlic
concurență rivalitate
albie curs
albie matcă
albie vad
curs matcă
curs vad
matcă vad
copilă fetișoară
copilă fetiță
copilă fetică
fetișoară fetiță
fetișoară fetică
fetiță fetișoară
fetiță fetică
fetică fetișoară
fetică fetiță
creștet creastă
creastă creștet
parcaj parcare
parcare parcaj
catenă lanț
jignire ofensa
ciorap șosetă
calibru calitate
calibru valoare
calitate calibru
calitate valoare
hol vestibul
armă pistol
armă revolver
pistol revolver
mur rug
egumen stareț
chingă stinghie
fluctuant instabil
fluctuant schimbător
fluctuant variabil
instabil schimbător
instabil variabil
schimbător variabil
clasic reprezentativ
condamnare osândă
condamnare pedeapsă
osândă pedeapsă
extern exterior
exterior extern
diform inform
diform slut
diform strâmb
inform slut
inform strâmb
slut strâmb
strâmb slut
anormal nefiresc
taxator încasator
caporal căprar
căprar caporal
minunăție minune
minune minunăție
pierde-vară târâie-brâu
coborâre coborâș
coborâș coborâre
botanist fitolog
mașinist mecanic
mecanic mașinist
cameraman operator
pleonasm tautologie
platnic plătitor
plătitor platnic
dicție dicțiune
dicțiune dicție
cimitir țintirim
birocratism birocrație
birocrație birocratism
cocoșat ghebos
antropofag canibal
pact tratat
suiș urcuș
platou podiș
podiș platou
cratimă linioară
boxer pugilist
copist scrib
fonetism pronunție
reacționar ultraconservator
administrator gestionar
administrator vechil
gestionar vechil
oxidare oxidație
oxidare ruginire
oxidație oxidare
oxidație ruginire
generalitate universalitate
marcaj semn
indicator marcaj
indicator semn
anticoncepțional contraceptiv
anticoncepțional profilactic
contraceptiv profilactic
afișaj afișare
afișare afișaj
activant activator
activator activant
mort slăbit
interludiu intermediu
antract interludiu
intermediu interludiu
antract intermediu
perfecționare specializare
ramificare ramificație
ramificație ramificare
buburuză boul-lui-Dumnezeu
buburuză mămăruță
boul-lui-Dumnezeu buburuză
boul-lui-Dumnezeu mămăruță
interpretare joc
cello violoncel
arbore catarg
evaporare evaporație
evaporare vaporizare
evaporare volatilizare
evaporație evaporare
evaporație vaporizare
evaporație volatilizare
vaporizare volatilizare
volatilizare vaporizare
cric vinci
pământ uscat
adunare sumare
martir mucenic
mucenic martir
fierbere fiert
fiert fierbere
lepădătură scursură
ghindă treflă
reprezentare simbolizare
neajutorat neîndemânatic
neajutorat nepriceput
neajutorat stângaci
neîndemânatic neajutorat
neîndemânatic nepriceput
neîndemânatic stângaci
nepriceput neajutorat
nepriceput neîndemânatic
nepriceput stângaci
licheni mușchi
bioxid dioxid
bâtă ciomag
bâtă măciucă
ciomag măciucă
eructație râgâială
eructație râgâit
eructație râgâitură
râgâială râgâit
râgâială râgâitură
râgâit râgâială
râgâitură râgâială
ateu necredincios
ateu liber-cugetător
liber-cugetător necredincios
lăcrimioară lăcrămioară
lăcrimioară mărgăritar
lăcrimioară mărgăritărel
lăcrămioară lăcrimioară
lăcrămioară mărgăritar
lăcrămioară mărgăritărel
mărgăritar mărgăritărel
mărgăritărel mărgăritar
biber castor
audiometru acumetru
acumetru audiometru
răzbunare revanșă
revanșă răzbunare
coșar hornar
brumărel octombrie
lapoviță zloată
bucher tocilar
amazoană călăreață
martie mărțișor
martie marț
mărțișor martie
mărțișor marț
marț martie
marț mărțișor
florar mai
ambră chihlimbar
gerar ianuarie
bărbierit ras
răpciune septembrie
aprilie prier
cădere căzătură
căzătură cădere
conifere rășinoase
cătină tamariscă
higrometru umidometru
extindere întindere
răspândire întindere
extindere răspândire
iacint zambilă
cârtiță sobol
imigrare imigrație
imigrație imigrare
dalie gherghină
februarie faur
februarie făurar
faur februarie
faur făurar
făurar februarie
făurar faur
brumar noiembrie
cumpărare cumpărătură
cumpărătură cumpărare
autobuz autocar
autobuz omnibuz
autocar autobuz
autocar omnibuz
blid vas
strachină vas
blid strachină
august gustar
șiretenie șmecherie
viclenie șiretenie
șmecherie șiretenie
viclenie șmecherie
gigabait gigaoctet
gigaoctet gigabait
bordel lupanar
pătrime sfert
plictiseală urât
dobândă procent
transmitere transmisiune
transmisiune transmitere
nimfă sirenă
radiolog radioterapeut
radioterapeut radiolog
axilă subraț
axilă subsuoară
subraț subsuoară
subsuoară subraț
astronaut cosmonaut
reangajat subofițer
doime jumătate
mutilare schilodire
oboseală osteneală
oboseală trudă
osteneală oboseală
osteneală trudă
gazetărie jurnalism
gazetărie jurnalistică
gazetărie presă
gazetărie publicistică
gazetărie ziaristică
jurnalism jurnalistică
jurnalism presă
jurnalism publicistică
jurnalism ziaristică
jurnalistică jurnalism
jurnalistică presă
jurnalistică publicistică
jurnalistică ziaristică
presă publicistică
presă ziaristică
publicistică presă
publicistică ziaristică
ignoranță neștiință
balonare flatulență
balonare meteorism
flatulență meteorism
conformație constituție
conformație fizic
constituție conformație
constituție fizic
aluat cocă
leucemie leucoză
leucoză leucemie
naftalen naftalină
naftalină naftalen
